Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2020;573.350
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2019;570.912
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2018;569.581
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2017;569.111
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2016;565.957
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2015;563.107
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2014;558.878
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2013;552.673
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2012;549.815
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2011;547.504
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2010;544.401
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2009;540.719
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2008;536.305
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2007;530.419
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2006;525.194
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2005;519.257
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2004;513.896
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2003;509.034
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2002;507.095
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2001;503.256
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;2000;499.272
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;1999;497.753
04 Almería;TOTAL EDADES;Españoles;Ambos sexos;1998;492.188
04 Almería;TOTAL EDADES;Españoles;Hombres;2022;287.042
04 Almería;TOTAL EDADES;Españoles;Hombres;2021;285.561
04 Almería;TOTAL EDADES;Españoles;Hombres;2020;284.664
04 Almería;TOTAL EDADES;Españoles;Hombres;2019;283.563
04 Almería;TOTAL EDADES;Españoles;Hombres;2018;283.021
04 Almería;TOTAL EDADES;Españoles;Hombres;2017;282.866
04 Almería;TOTAL EDADES;Españoles;Hombres;2016;281.225
04 Almería;TOTAL EDADES;Españoles;Hombres;2015;279.716
04 Almería;TOTAL EDADES;Españoles;Hombres;2014;277.566
04 Almería;TOTAL EDADES;Españoles;Hombres;2013;274.531
04 Almería;TOTAL EDADES;Españoles;Hombres;2012;273.132
04 Almería;TOTAL EDADES;Españoles;Hombres;2011;272.131
04 Almería;TOTAL EDADES;Españoles;Hombres;2010;270.554
04 Almería;TOTAL EDADES;Españoles;Hombres;2009;268.618
04 Almería;TOTAL EDADES;Españoles;Hombres;2008;266.564
04 Almería;TOTAL EDADES;Españoles;Hombres;2007;263.511
04 Almería;TOTAL EDADES;Españoles;Hombres;2006;260.808
04 Almería;TOTAL EDADES;Españoles;Hombres;2005;257.535
04 Almería;TOTAL EDADES;Españoles;Hombres;2004;254.886
04 Almería;TOTAL EDADES;Españoles;Hombres;2003;252.315
04 Almería;TOTAL EDADES;Españoles;Hombres;2002;251.363
04 Almería;TOTAL EDADES;Españoles;Hombres;2001;249.312
04 Almería;TOTAL EDADES;Españoles;Hombres;2000;246.957
04 Almería;TOTAL EDADES;Españoles;Hombres;1999;246.262
04 Almería;TOTAL EDADES;Españoles;Hombres;1998;243.275
04 Almería;TOTAL EDADES;Españoles;Mujeres;2022;291.401
04 Almería;TOTAL EDADES;Españoles;Mujeres;2021;289.874
04 Almería;TOTAL EDADES;Españoles;Mujeres;2020;288.686
04 Almería;TOTAL EDADES;Españoles;Mujeres;2019;287.349
04 Almería;TOTAL EDADES;Españoles;Mujeres;2018;286.560
04 Almería;TOTAL EDADES;Españoles;Mujeres;2017;286.245
04 Almería;TOTAL EDADES;Españoles;Mujeres;2016;284.732
04 Almería;TOTAL EDADES;Españoles;Mujeres;2015;283.391
04 Almería;TOTAL EDADES;Españoles;Mujeres;2014;281.312
04 Almería;TOTAL EDADES;Españoles;Mujeres;2013;278.142
04 Almería;TOTAL EDADES;Españoles;Mujeres;2012;276.683
04 Almería;TOTAL EDADES;Españoles;Mujeres;2011;275.373
04 Almería;TOTAL EDADES;Españoles;Mujeres;2010;273.847
04 Almería;TOTAL EDADES;Españoles;Mujeres;2009;272.101
04 Almería;TOTAL EDADES;Españoles;Mujeres;2008;269.741
04 Almería;TOTAL EDADES;Españoles;Mujeres;2007;266.908
04 Almería;TOTAL EDADES;Españoles;Mujeres;2006;264.386
04 Almería;TOTAL EDADES;Españoles;Mujeres;2005;261.722
04 Almería;TOTAL EDADES;Españoles;Mujeres;2004;259.010
04 Almería;TOTAL EDADES;Españoles;Mujeres;2003;256.719
04 Almería;TOTAL EDADES;Españoles;Mujeres;2002;255.732
04 Almería;TOTAL EDADES;Españoles;Mujeres;2001;253.944
04 Almería;TOTAL EDADES;Españoles;Mujeres;2000;252.315
04 Almería;TOTAL EDADES;Españoles;Mujeres;1999;251.491
04 Almería;TOTAL EDADES;Españoles;Mujeres;1998;248.913
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2022;162.091
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2021;156.357
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2020;154.595
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2019;145.908
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2018;139.759
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2017;137.561
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2016;138.340
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2015;138.104
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2014;142.810
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2013;146.656
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2012;154.404
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2011;155.315
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2010;151.159
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2009;143.707
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2008;131.330
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2007;116.214
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2006;110.656
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2005;93.058
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2004;66.181
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2003;56.276
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2002;39.403
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2001;29.912
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;2000;18.957
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;1999;15.090
04 Almería;TOTAL EDADES;Extranjeros;Ambos sexos;1998;13.260
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2022;91.013
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2021;87.575
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2020;86.894
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2019;82.138
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2018;78.298
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2017;76.810
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2016;76.998
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2015;76.342
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2014;79.097
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2013;81.127
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2012;86.415
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2011;89.058
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2010;87.558
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2009;83.777
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2008;77.152
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2007;69.716
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2006;68.824
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2005;57.521
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2004;39.300
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2003;34.977
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2002;25.017
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2001;20.233
04 Almería;TOTAL EDADES;Extranjeros;Hombres;2000;12.427
04 Almería;TOTAL EDADES;Extranjeros;Hombres;1999;10.118
04 Almería;TOTAL EDADES;Extranjeros;Hombres;1998;8.902
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2022;71.078
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2021;68.782
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2020;67.701
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2019;63.770
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2018;61.461
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2017;60.751
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2016;61.342
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2015;61.762
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2014;63.713
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2013;65.529
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2012;67.989
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2011;66.257
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2010;63.601
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2009;59.930
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2008;54.178
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2007;46.498
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2006;41.832
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2005;35.537
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2004;26.881
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2003;21.299
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2002;14.386
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2001;9.679
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;2000;6.530
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;1999;4.972
04 Almería;TOTAL EDADES;Extranjeros;Mujeres;1998;4.358
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2022;21,89
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;21,37
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;21,24
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;20,35
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2018;19,70
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2017;19,47
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2016;19,64
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2015;19,70
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2014;20,35
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2013;20,97
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2012;21,93
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2011;22,10
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2010;21,73
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2009;21,00
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2008;19,67
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2007;17,97
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2006;17,40
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2005;15,20
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2004;11,41
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2003;9,95
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2002;7,21
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2001;5,61
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;2000;3,66
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;1999;2,94
04 Almería;TOTAL EDADES;% Extranjeros;Ambos sexos;1998;2,62
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2022;24,07
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2021;23,47
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2020;23,39
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2019;22,46
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2018;21,67
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2017;21,36
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2016;21,49
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2015;21,44
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2014;22,18
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2013;22,81
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2012;24,03
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2011;24,66
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2010;24,45
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2009;23,77
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2008;22,45
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2007;20,92
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2006;20,88
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2005;18,26
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2004;13,36
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2003;12,17
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2002;9,05
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2001;7,51
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;2000;4,79
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;1999;3,95
04 Almería;TOTAL EDADES;% Extranjeros;Hombres;1998;3,53
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2022;19,61
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2021;19,18
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2020;19,00
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2019;18,16
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2018;17,66
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2017;17,51
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2016;17,73
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2015;17,89
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2014;18,47
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2013;19,07
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2012;19,73
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2011;19,39
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2010;18,85
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2009;18,05
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2008;16,73
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2007;14,84
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2006;13,66
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2005;11,95
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2004;9,40
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2003;7,66
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2002;5,33
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2001;3,67
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;2000;2,52
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;1999;1,94
04 Almería;TOTAL EDADES;% Extranjeros;Mujeres;1998;1,72
04 Almería;0-15 años;TOTAL;Ambos sexos;2022;129.547
04 Almería;0-15 años;TOTAL;Ambos sexos;2021;129.574
04 Almería;0-15 años;TOTAL;Ambos sexos;2020;130.483
04 Almería;0-15 años;TOTAL;Ambos sexos;2019;129.371
04 Almería;0-15 años;TOTAL;Ambos sexos;2018;128.691
04 Almería;0-15 años;TOTAL;Ambos sexos;2017;128.666
04 Almería;0-15 años;TOTAL;Ambos sexos;2016;128.510
04 Almería;0-15 años;TOTAL;Ambos sexos;2015;127.774
04 Almería;0-15 años;TOTAL;Ambos sexos;2014;127.563
04 Almería;0-15 años;TOTAL;Ambos sexos;2013;126.472
04 Almería;0-15 años;TOTAL;Ambos sexos;2012;126.264
04 Almería;0-15 años;TOTAL;Ambos sexos;2011;125.119
04 Almería;0-15 años;TOTAL;Ambos sexos;2010;123.695
04 Almería;0-15 años;TOTAL;Ambos sexos;2009;121.654
04 Almería;0-15 años;TOTAL;Ambos sexos;2008;119.315
04 Almería;0-15 años;TOTAL;Ambos sexos;2007;115.459
04 Almería;0-15 años;TOTAL;Ambos sexos;2006;113.330
04 Almería;0-15 años;TOTAL;Ambos sexos;2005;110.828
04 Almería;0-15 años;TOTAL;Ambos sexos;2004;108.263
04 Almería;0-15 años;TOTAL;Ambos sexos;2003;106.065
04 Almería;0-15 años;TOTAL;Ambos sexos;2002;103.607
04 Almería;0-15 años;TOTAL;Ambos sexos;2001;102.083
04 Almería;0-15 años;TOTAL;Ambos sexos;2000;101.959
04 Almería;0-15 años;TOTAL;Ambos sexos;1999;103.574
04 Almería;0-15 años;TOTAL;Ambos sexos;1998;105.105
04 Almería;0-15 años;TOTAL;Hombres;2022;66.554
04 Almería;0-15 años;TOTAL;Hombres;2021;66.549
04 Almería;0-15 años;TOTAL;Hombres;2020;66.929
04 Almería;0-15 años;TOTAL;Hombres;2019;66.367
04 Almería;0-15 años;TOTAL;Hombres;2018;65.884
04 Almería;0-15 años;TOTAL;Hombres;2017;65.863
04 Almería;0-15 años;TOTAL;Hombres;2016;65.874
04 Almería;0-15 años;TOTAL;Hombres;2015;65.508
04 Almería;0-15 años;TOTAL;Hombres;2014;65.412
04 Almería;0-15 años;TOTAL;Hombres;2013;64.847
04 Almería;0-15 años;TOTAL;Hombres;2012;64.877
04 Almería;0-15 años;TOTAL;Hombres;2011;64.362
04 Almería;0-15 años;TOTAL;Hombres;2010;63.656
04 Almería;0-15 años;TOTAL;Hombres;2009;62.428
04 Almería;0-15 años;TOTAL;Hombres;2008;61.300
04 Almería;0-15 años;TOTAL;Hombres;2007;59.377
04 Almería;0-15 años;TOTAL;Hombres;2006;58.343
04 Almería;0-15 años;TOTAL;Hombres;2005;57.171
04 Almería;0-15 años;TOTAL;Hombres;2004;55.904
04 Almería;0-15 años;TOTAL;Hombres;2003;54.843
04 Almería;0-15 años;TOTAL;Hombres;2002;53.556
04 Almería;0-15 años;TOTAL;Hombres;2001;52.676
04 Almería;0-15 años;TOTAL;Hombres;2000;52.563
04 Almería;0-15 años;TOTAL;Hombres;1999;53.325
04 Almería;0-15 años;TOTAL;Hombres;1998;53.854
04 Almería;0-15 años;TOTAL;Mujeres;2022;62.993
04 Almería;0-15 años;TOTAL;Mujeres;2021;63.025
04 Almería;0-15 años;TOTAL;Mujeres;2020;63.554
04 Almería;0-15 años;TOTAL;Mujeres;2019;63.004
04 Almería;0-15 años;TOTAL;Mujeres;2018;62.807
04 Almería;0-15 años;TOTAL;Mujeres;2017;62.803
04 Almería;0-15 años;TOTAL;Mujeres;2016;62.636
04 Almería;0-15 años;TOTAL;Mujeres;2015;62.266
04 Almería;0-15 años;TOTAL;Mujeres;2014;62.151
04 Almería;0-15 años;TOTAL;Mujeres;2013;61.625
04 Almería;0-15 años;TOTAL;Mujeres;2012;61.387
04 Almería;0-15 años;TOTAL;Mujeres;2011;60.757
04 Almería;0-15 años;TOTAL;Mujeres;2010;60.039
04 Almería;0-15 años;TOTAL;Mujeres;2009;59.226
04 Almería;0-15 años;TOTAL;Mujeres;2008;58.015
04 Almería;0-15 años;TOTAL;Mujeres;2007;56.082
04 Almería;0-15 años;TOTAL;Mujeres;2006;54.987
04 Almería;0-15 años;TOTAL;Mujeres;2005;53.657
04 Almería;0-15 años;TOTAL;Mujeres;2004;52.359
04 Almería;0-15 años;TOTAL;Mujeres;2003;51.222
04 Almería;0-15 años;TOTAL;Mujeres;2002;50.051
04 Almería;0-15 años;TOTAL;Mujeres;2001;49.407
04 Almería;0-15 años;TOTAL;Mujeres;2000;49.396
04 Almería;0-15 años;TOTAL;Mujeres;1999;50.250
04 Almería;0-15 años;TOTAL;Mujeres;1998;51.250
04 Almería;0-15 años;Españoles;Ambos sexos;2022;101.316
04 Almería;0-15 años;Españoles;Ambos sexos;2021;101.793
04 Almería;0-15 años;Españoles;Ambos sexos;2020;102.999
04 Almería;0-15 años;Españoles;Ambos sexos;2019;103.489
04 Almería;0-15 años;Españoles;Ambos sexos;2018;103.920
04 Almería;0-15 años;Españoles;Ambos sexos;2017;104.363
04 Almería;0-15 años;Españoles;Ambos sexos;2016;103.940
04 Almería;0-15 años;Españoles;Ambos sexos;2015;103.440
04 Almería;0-15 años;Españoles;Ambos sexos;2014;102.451
04 Almería;0-15 años;Españoles;Ambos sexos;2013;101.124
04 Almería;0-15 años;Españoles;Ambos sexos;2012;100.103
04 Almería;0-15 años;Españoles;Ambos sexos;2011;99.885
04 Almería;0-15 años;Españoles;Ambos sexos;2010;99.290
04 Almería;0-15 años;Españoles;Ambos sexos;2009;98.581
04 Almería;0-15 años;Españoles;Ambos sexos;2008;97.833
04 Almería;0-15 años;Españoles;Ambos sexos;2007;96.587
04 Almería;0-15 años;Españoles;Ambos sexos;2006;96.588
04 Almería;0-15 años;Españoles;Ambos sexos;2005;96.125
04 Almería;0-15 años;Españoles;Ambos sexos;2004;96.541
04 Almería;0-15 años;Españoles;Ambos sexos;2003;97.215
04 Almería;0-15 años;Españoles;Ambos sexos;2002;97.857
04 Almería;0-15 años;Españoles;Ambos sexos;2001;98.394
04 Almería;0-15 años;Españoles;Ambos sexos;2000;99.310
04 Almería;0-15 años;Españoles;Ambos sexos;1999;101.786
04 Almería;0-15 años;Españoles;Ambos sexos;1998;103.619
04 Almería;0-15 años;Españoles;Hombres;2022;52.000
04 Almería;0-15 años;Españoles;Hombres;2021;52.239
04 Almería;0-15 años;Españoles;Hombres;2020;52.824
04 Almería;0-15 años;Españoles;Hombres;2019;53.087
04 Almería;0-15 años;Españoles;Hombres;2018;53.220
04 Almería;0-15 años;Españoles;Hombres;2017;53.459
04 Almería;0-15 años;Españoles;Hombres;2016;53.250
04 Almería;0-15 años;Españoles;Hombres;2015;53.004
04 Almería;0-15 años;Españoles;Hombres;2014;52.466
04 Almería;0-15 años;Españoles;Hombres;2013;51.814
04 Almería;0-15 años;Españoles;Hombres;2012;51.345
04 Almería;0-15 años;Españoles;Hombres;2011;51.345
04 Almería;0-15 años;Españoles;Hombres;2010;51.054
04 Almería;0-15 años;Españoles;Hombres;2009;50.557
04 Almería;0-15 años;Españoles;Hombres;2008;50.157
04 Almería;0-15 años;Españoles;Hombres;2007;49.503
04 Almería;0-15 años;Españoles;Hombres;2006;49.602
04 Almería;0-15 años;Españoles;Hombres;2005;49.450
04 Almería;0-15 años;Españoles;Hombres;2004;49.752
04 Almería;0-15 años;Españoles;Hombres;2003;50.139
04 Almería;0-15 años;Españoles;Hombres;2002;50.480
04 Almería;0-15 años;Españoles;Hombres;2001;50.684
04 Almería;0-15 años;Españoles;Hombres;2000;51.115
04 Almería;0-15 años;Españoles;Hombres;1999;52.331
04 Almería;0-15 años;Españoles;Hombres;1998;53.053
04 Almería;0-15 años;Españoles;Mujeres;2022;49.316
04 Almería;0-15 años;Españoles;Mujeres;2021;49.554
04 Almería;0-15 años;Españoles;Mujeres;2020;50.175
04 Almería;0-15 años;Españoles;Mujeres;2019;50.402
04 Almería;0-15 años;Españoles;Mujeres;2018;50.700
04 Almería;0-15 años;Españoles;Mujeres;2017;50.904
04 Almería;0-15 años;Españoles;Mujeres;2016;50.690
04 Almería;0-15 años;Españoles;Mujeres;2015;50.436
04 Almería;0-15 años;Españoles;Mujeres;2014;49.985
04 Almería;0-15 años;Españoles;Mujeres;2013;49.310
04 Almería;0-15 años;Españoles;Mujeres;2012;48.758
04 Almería;0-15 años;Españoles;Mujeres;2011;48.540
04 Almería;0-15 años;Españoles;Mujeres;2010;48.236
04 Almería;0-15 años;Españoles;Mujeres;2009;48.024
04 Almería;0-15 años;Españoles;Mujeres;2008;47.676
04 Almería;0-15 años;Españoles;Mujeres;2007;47.084
04 Almería;0-15 años;Españoles;Mujeres;2006;46.986
04 Almería;0-15 años;Españoles;Mujeres;2005;46.675
04 Almería;0-15 años;Españoles;Mujeres;2004;46.789
04 Almería;0-15 años;Españoles;Mujeres;2003;47.076
04 Almería;0-15 años;Españoles;Mujeres;2002;47.377
04 Almería;0-15 años;Españoles;Mujeres;2001;47.710
04 Almería;0-15 años;Españoles;Mujeres;2000;48.195
04 Almería;0-15 años;Españoles;Mujeres;1999;49.455
04 Almería;0-15 años;Españoles;Mujeres;1998;50.565
04 Almería;0-15 años;Extranjeros;Ambos sexos;2022;28.231
04 Almería;0-15 años;Extranjeros;Ambos sexos;2021;27.781
04 Almería;0-15 años;Extranjeros;Ambos sexos;2020;27.484
04 Almería;0-15 años;Extranjeros;Ambos sexos;2019;25.882
04 Almería;0-15 años;Extranjeros;Ambos sexos;2018;24.771
04 Almería;0-15 años;Extranjeros;Ambos sexos;2017;24.303
04 Almería;0-15 años;Extranjeros;Ambos sexos;2016;24.570
04 Almería;0-15 años;Extranjeros;Ambos sexos;2015;24.334
04 Almería;0-15 años;Extranjeros;Ambos sexos;2014;25.112
04 Almería;0-15 años;Extranjeros;Ambos sexos;2013;25.348
04 Almería;0-15 años;Extranjeros;Ambos sexos;2012;26.161
04 Almería;0-15 años;Extranjeros;Ambos sexos;2011;25.234
04 Almería;0-15 años;Extranjeros;Ambos sexos;2010;24.405
04 Almería;0-15 años;Extranjeros;Ambos sexos;2009;23.073
04 Almería;0-15 años;Extranjeros;Ambos sexos;2008;21.482
04 Almería;0-15 años;Extranjeros;Ambos sexos;2007;18.872
04 Almería;0-15 años;Extranjeros;Ambos sexos;2006;16.742
04 Almería;0-15 años;Extranjeros;Ambos sexos;2005;14.703
04 Almería;0-15 años;Extranjeros;Ambos sexos;2004;11.722
04 Almería;0-15 años;Extranjeros;Ambos sexos;2003;8.850
04 Almería;0-15 años;Extranjeros;Ambos sexos;2002;5.750
04 Almería;0-15 años;Extranjeros;Ambos sexos;2001;3.689
04 Almería;0-15 años;Extranjeros;Ambos sexos;2000;2.649
04 Almería;0-15 años;Extranjeros;Ambos sexos;1999;1.789
04 Almería;0-15 años;Extranjeros;Ambos sexos;1998;1.486
04 Almería;0-15 años;Extranjeros;Hombres;2022;14.554
04 Almería;0-15 años;Extranjeros;Hombres;2021;14.310
04 Almería;0-15 años;Extranjeros;Hombres;2020;14.105
04 Almería;0-15 años;Extranjeros;Hombres;2019;13.280
04 Almería;0-15 años;Extranjeros;Hombres;2018;12.664
04 Almería;0-15 años;Extranjeros;Hombres;2017;12.404
04 Almería;0-15 años;Extranjeros;Hombres;2016;12.624
04 Almería;0-15 años;Extranjeros;Hombres;2015;12.504
04 Almería;0-15 años;Extranjeros;Hombres;2014;12.946
04 Almería;0-15 años;Extranjeros;Hombres;2013;13.033
04 Almería;0-15 años;Extranjeros;Hombres;2012;13.532
04 Almería;0-15 años;Extranjeros;Hombres;2011;13.017
04 Almería;0-15 años;Extranjeros;Hombres;2010;12.602
04 Almería;0-15 años;Extranjeros;Hombres;2009;11.871
